cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
_VALID_VALUES:,(skip this row; treat as header extension),Y or N,Y or N,0.0000-1.0000,(pre-filled),(pre-filled),(pre-filled),(pre-filled),(free text),PACKAGE | BINARY | RUNTIME_CONFIG | SERVICE | APPLIANCE | CLOUD | OTHER,SBOM | HOST | NETWORK | RUNTIME | CSPM | NONE,(free text)
CVE-2026-40562,CVE_ONLY,N,N,,cve-project,KAZEBURO:Gazelle,"Gazelle versions through 0.49 for Perl allows HTTP Request Smuggling via Improper Header Precedence.

Gazelle incorrectly prioritizes ""Content-Length"" over ""Transfer-Encoding: chunked"" when both headers are present in an HTTP request. Per RFC 7230 3.3.3, Transfer-Encoding must take precedence.

An a",,,PACKAGE,SBOM,"Gazelle is a Perl application, indicating a vulnerability in a package distributed through a language ecosystem."
CVE-2026-6360,CVE_ONLY,N,N,,cve-project,Google:Chrome,Use after free in FileSystem in Google Chrome prior to 147.0.7727.101 allowed a remote attacker to potentially exploit object corruption via a crafted HTML page. (Chromium security severity: High),,,BINARY,HOST,"Vulnerability in Google Chrome, a compiled binary, detected via host scanning."
CVE-2026-26168,CVE_ONLY,N,N,,cve-project,Microsoft:Windows 10 Version 1607,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,,,BINARY,HOST,"Vulnerability in a Windows OS component, affecting the compiled binary."
CVE-2026-41473,CVE_ONLY,N,N,,cve-project,usmannasir:cyberpanel,CyberPanel versions prior to 2.4.4 contain an authentication bypass vulnerability in the AI Scanner worker API endpoints that allows unauthenticated remote attackers to write arbitrary data to the database by sending requests to the /api/ai-scanner/status-webhook and /api/ai-scanner/callback endpoin,,,SERVICE,NETWORK,Vulnerability in a service with network exposure allowing remote attacks.
CVE-2026-43073,CVE_ONLY,N,N,,cve-project,Linux:Linux,"In the Linux kernel, the following vulnerability has been resolved:

x86-64: rename misleadingly named '__copy_user_nocache()' function

This function was a masterclass in bad naming, for various historical
reasons.

It claimed to be a non-cached user copy.  It is literally _neither_ of
those things",,,BINARY,HOST,"Vulnerability in the Linux kernel, a compiled binary, detected via host scanning."
CVE-2026-8634,CVE_ONLY,N,N,,cve-project,openclaw:crabbox,"Crabbox prior to v0.12.0 contains an environment variable exposure vulnerability that allows attackers with access to a malicious or compromised repository to forward local secrets such as API tokens, cloud credentials, and broker tokens into the remote command environment. Attackers can exploit ove",,,RUNTIME_CONFIG,RUNTIME,Vulnerability depends on specific environment variable configurations.
CVE-2026-7971,CVE_ONLY,N,N,,cve-project,Google:Chrome,Inappropriate implementation in ORB in Google Chrome prior to 148.0.7778.96 allowed a remote attacker to bypass site isolation via a crafted HTML page. (Chromium security severity: Medium),,,BINARY,HOST,"Vulnerability in Google Chrome, a compiled binary, detected via host scanning."
CVE-2026-34302,CVE_ONLY,N,N,,cve-project,Oracle Corporation:Oracle Workflow,Vulnerability in the Oracle Workflow product of Oracle E-Business Suite (component: Workflow Loader).  Supported versions that are affected are 12.2.3-12.2.15. Easily exploitable vulnerability allows high privileged attacker with network access via HTTP to compromise Oracle Workflow.  While the vuln,,,SERVICE,NETWORK,Vulnerability in Oracle Workflow allows network access exploitation.
CVE-2024-0391,CVE_ONLY,N,N,,cve-project,WSO2:WSO2 Identity Server,"The check user account lock states feature within the email OTP flow fails to validate user input, allowing an attacker to infer the existence of registered user accounts.

The discovery of valid usernames can increase the risk of brute-force and social engineering attacks. Attackers can leverage th",,,SERVICE,NETWORK,"Vulnerability exists in a service with network exposure, allowing for user enumeration."
