cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
CVE-2016-7201,PACKAGE_RANGE,Y,N,0.9959,cisa-kev;cve-project;epss;ghsa-reviewed;osv-NuGet,n/a:n/a,"The Chakra JavaScript scripting engine in Microsoft Edge allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Scripting Engine Memory Corruption Vulnerability,"" a different vulnerability than CVE-2016-7200, CVE-2016-7202, CVE",GHSA-4F5G-J7WG-7W8J,,,,
CVE-2020-11651,PACKAGE_RANGE,Y,N,0.9998,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-PyPI;pypa,n/a:n/a,An issue was discovered in SaltStack Salt before 2019.2.4 and 3000 before 3000.2. The salt-master process ClearFuncs class does not properly validate method calls. This allows a remote user to access some methods without authentication. These methods can be used to retrieve user tokens from the salt,GHSA-PJHF-VPX3-33R3;PYSEC-2020-102,,,,
CVE-2020-17519,PACKAGE_RANGE,Y,N,0.9997,cisa-kev;cve-project;epss;ghsa-reviewed;osv-Bitnami;osv-GIT;osv-Maven,Apache Software Foundation:Apache Flink,A change introduced in Apache Flink 1.11.0 (and released in 1.11.1 and 1.11.2 as well) allows attackers to read any file on the local filesystem of the JobManager through the REST interface of the JobManager process. Access is restricted to files accessible by the JobManager process. All users shoul,BIT-FLINK-2020-17519;GHSA-395W-QHQR-9FR6,,,,
CVE-2019-6340,PACKAGE_RANGE,Y,N,0.9999,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Packagist,Drupal:Drupal Core,Some field types do not properly sanitize data from non-form sources in Drupal 8.5.x before 8.5.11 and Drupal 8.6.x before 8.6.10. This can lead to arbitrary PHP code execution in some cases. A site is only affected by this if one of the following conditions is met: The site has the Drupal 8 core RE,DRUPAL-CORE-2019-003;GHSA-3GX6-H57H-RM27,,,,
CVE-2022-33891,PACKAGE_RANGE,Y,N,0.9982,cisa-kev;cve-project;epss;ghsa-reviewed;osv-Bitnami;osv-GIT;osv-Maven;osv-PyPI;pypa,Apache Software Foundation:Apache Spark,"The Apache Spark UI offers the possibility to enable ACLs via the configuration option spark.acls.enable. With an authentication filter, this checks whether a user has access permissions to view or modify the application. If ACLs are enabled, a code path in HttpSecurityFilter can allow someone to pe",BIT-SPARK-2022-33891;GHSA-4X9R-J582-CGR8;PYSEC-2022-236,,,,
CVE-2023-0669,PACKAGE_RANGE,Y,Y,0.9997,cisa-kev;cve-project;epss;ghsa-reviewed,Fortra:Goanywhere MFT,"Fortra (formerly, HelpSystems) GoAnywhere MFT suffers from a pre-authentication command injection vulnerability in the License Response Servlet due to deserializing an arbitrary attacker-controlled object. This issue was patched in version 7.1.2.",GHSA-6PM2-J2V8-H3CJ,,,,
CVE-2018-14667,PACKAGE_RANGE,Y,N,0.9952,cisa-kev;cve-project;epss;ghsa-reviewed;osv-Maven,[UNKNOWN]:RichFaces,"The RichFaces Framework 3.X through 3.3.4 is vulnerable to Expression Language (EL) injection via the UserResource resource. A remote, unauthenticated attacker could exploit this to execute arbitrary code using a chain of java serialized objects via org.ajax4jsf.resource.UserResource$UriData.",GHSA-J7MW-7CRR-658V,,,,
CVE-2021-44228,PACKAGE_RANGE,Y,Y,0.9996,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Maven,Apache Software Foundation:Apache Log4j2,"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message p",GHSA-JFH8-C2JP-5V3Q,,,,
CVE-2020-5410,PACKAGE_RANGE,Y,N,0.9996,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Maven,Spring by VMware:Spring Cloud Config,"Spring Cloud Config, versions 2.2.x prior to 2.2.3, versions 2.1.x prior to 2.1.9, and older unsupported versions allow applications to serve arbitrary configuration files through the spring-cloud-config-server module. A malicious user, or attacker, can send a request using a specially crafted URL t",GHSA-32XF-JWMV-9HF3,,,,
CVE-2020-17530,PACKAGE_RANGE,Y,N,0.9997,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Maven,Apache Software Foundation:Apache Struts,"Forced OGNL evaluation, when evaluated on raw user input in tag attributes, may lead to remote code execution. Affected software : Apache Struts 2.0.0 - Struts 2.5.25.",GHSA-JC35-Q369-45PV,,,,
CVE-2021-32648,PACKAGE_RANGE,Y,N,0.9979,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Packagist,octobercms:october,octobercms in a CMS platform based on the Laravel PHP Framework. In affected versions of the october/system package an attacker can request an account password reset and then gain access to the account using a specially crafted request. The issue has been patched in Build 472 and v1.1.5.,GHSA-MXR5-MC97-63RC,,,,
