cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
CVE-2021-37415,UNREVIEWED_MIRROR,Y,N,0.9970,cisa-kev;cve-project;epss;ghsa-unreviewed,n/a:n/a,Zoho ManageEngine ServiceDesk Plus before 11302 is vulnerable to authentication bypass that allows a few REST-API URLs without authentication.,GHSA-WF6J-6X58-69FG,,,,
CVE-2022-22675,UNREVIEWED_MIRROR,Y,N,0.7797,cisa-kev;cve-project;epss;ghsa-unreviewed,Apple:iOS and iPadOS,"An out-of-bounds write issue was addressed with improved bounds checking. This issue is fixed in tvOS 15.5, watchOS 8.6, macOS Big Sur 11.6.6, macOS Monterey 12.3.1, iOS 15.4.1 and iPadOS 15.4.1. An application may be able to execute arbitrary code with kernel privileges. Apple is aware of a report ",GHSA-XJ88-RF28-XGV9,,,,
CVE-2013-0632,UNREVIEWED_MIRROR,Y,N,0.9975,cisa-kev;cve-project;epss;ghsa-unreviewed,n/a:n/a,"administrator.cfc in Adobe ColdFusion 9.0, 9.0.1, 9.0.2, and 10 allows remote attackers to bypass authentication and possibly execute arbitrary code by logging in to the RDS component using the default empty password and leveraging this session to access the administrative web interface, as exploite",GHSA-8XF7-V5JV-237F,,,,
CVE-2020-11899,UNREVIEWED_MIRROR,Y,N,0.9690,cisa-kev;cve-project;epss;ghsa-unreviewed,n/a:n/a,The Treck TCP/IP stack before 6.0.1.66 has an IPv6 Out-of-bounds Read.,GHSA-6R3W-C7H6-WFHG,,,,
CVE-2023-36845,UNREVIEWED_MIRROR,Y,N,0.9996,cisa-kev;cve-project;epss;ghsa-unreviewed,Juniper Networks:Junos OS,"A PHP External Variable Modification vulnerability in J-Web of Juniper Networks Junos OS on EX Series 

and SRX Series 

allows an unauthenticated, network-based attacker to remotely execute code.

Using a crafted request which sets the variable PHPRC an attacker is able to modify the PHP execution ",GHSA-Q56G-QR28-QH57,,,,
CVE-2023-27351,UNREVIEWED_MIRROR,Y,Y,0.9757,cisa-kev;cve-project;epss;ghsa-unreviewed,PaperCut:NG,This vulnerability allows remote attackers to bypass authentication on affected installations of PaperCut NG 22.0.5 (Build 63914). Authentication is not required to exploit this vulnerability. The specific flaw exists within the SecurityRequestFilter class. The issue results from improper implementa,GHSA-2C69-R2JH-XJVM,,,,
CVE-2021-44207,UNREVIEWED_MIRROR,Y,N,0.9258,cisa-kev;cve-project;epss;ghsa-unreviewed,n/a:n/a,Acclaim USAHERDS through 7.4.0.1 uses hard-coded credentials.,GHSA-QC3G-2WRF-8FCW,,,,
CVE-2020-9054,UNREVIEWED_MIRROR,Y,N,0.9995,cisa-kev;cve-project;epss;ghsa-unreviewed,ZyXEL:NAS326,"Multiple ZyXEL network-attached storage (NAS) devices running firmware version 5.21 contain a pre-authentication command injection vulnerability, which may allow a remote, unauthenticated attacker to execute arbitrary code on a vulnerable device. ZyXEL NAS devices achieve authentication by using the",GHSA-W6H5-RJP3-HXVC,,,,
CVE-2023-22515,UNREVIEWED_MIRROR,Y,Y,0.9995,cisa-kev;cve-project;epss;ghsa-unreviewed,Atlassian:Confluence Data Center,Atlassian has been made aware of an issue reported by a handful of customers where external attackers may have exploited a previously unknown vulnerability in publicly accessible Confluence Data Center and Server instances to create unauthorized Confluence administrator accounts and access Confluenc,GHSA-G458-XVMC-QG2R,,,,
CVE-2021-30661,UNREVIEWED_MIRROR,Y,N,0.3505,cisa-kev;cve-project;epss;ghsa-unreviewed,Apple:iOS and iPadOS,"A use after free issue was addressed with improved memory management. This issue is fixed in Safari 14.1, iOS 12.5.3, iOS 14.5 and iPadOS 14.5, watchOS 7.4, tvOS 14.5, macOS Big Sur 11.3. Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that",GHSA-79QQ-9X66-F5R5,,,,
