cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
_VALID_VALUES:,(skip this row; treat as header extension),Y or N,Y or N,0.0000-1.0000,(pre-filled),(pre-filled),(pre-filled),(pre-filled),(free text),PACKAGE | BINARY | RUNTIME_CONFIG | SERVICE | APPLIANCE | CLOUD | OTHER,SBOM | HOST | NETWORK | RUNTIME | CSPM | NONE,(free text)
CVE-2021-21381,CVE_ONLY,N,N,0.3079,cve-project;epss;osv-GIT,flatpak:flatpak,"Flatpak is a system for building, distributing, and running sandboxed desktop applications on Linux. In Flatpack since version 0.9.4 and before version 1.10.2 has a vulnerability in the ""file forwarding"" feature which can be used by an attacker to gain access to files that would not ordinarily be al",,,PACKAGE,SBOM,"Vulnerability in Flatpak, a package for sandboxed applications, fits the PACKAGE category."
CVE-2026-3998,CVE_ONLY,N,N,,cve-project,webmindpt:WM JqMath,The WM JqMath plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'style' shortcode attribute of the [jqmath] shortcode in all versions up to and including 1.3. This is due to insufficient input sanitization and output escaping on user-supplied shortcode attributes. The generat,,,SERVICE,NETWORK,"Vulnerability in a WordPress plugin, which is scanned at runtime."
CVE-2026-4133,CVE_ONLY,N,N,,cve-project,textp2p:TextP2P Texting Widget,The TextP2P Texting Widget plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to and including 1.7. This is due to missing nonce validation in the imTextP2POptionPage() function which processes settings updates. The form at line 314 does not include a wp_nonce_field(,,,SERVICE,NETWORK,"Vulnerability in a WordPress plugin, which is scanned at runtime."
CVE-2025-14813,CVE_ONLY,N,N,,cve-project,Legion of the Bouncy Castle Inc.:BC-JAVA,"Use of a Broken or Risky Cryptographic Algorithm vulnerability in Legion of the Bouncy Castle Inc. BC-JAVA bcprov on all (core modules). This vulnerability is associated with program files G3413CTRBlockCipher.

GOSTCTR implementation unable to process more than 255 blocks correctly.


This issue aff",,,OTHER,NONE,no description available
CVE-2026-30813,CVE_ONLY,N,N,,cve-project,Pandora FMS:Pandora FMS,Improper Neutralization of Special Elements used in an SQL Command vulnerability allows SQL Injection via module search. This issue affects Pandora FMS: from 777 through 800,,,PACKAGE,SBOM,Vulnerability in a versioned package (Pandora FMS) that can be identified via package scanning.
CVE-2021-47527,CVE_ONLY,N,N,0.0057,cve-project;epss,Linux:Linux,"In the Linux kernel, the following vulnerability has been resolved:

serial: core: fix transmit-buffer reset and memleak

Commit 761ed4a94582 (""tty: serial_core: convert uart_close to use
tty_port_close"") converted serial core to use tty_port_close() but
failed to notice that the transmit buffer sti",,,BINARY,HOST,"Vulnerability in the Linux kernel, which is a compiled binary."
CVE-2022-31062,CVE_ONLY,N,N,0.9342,cve-project;epss;osv-GIT,glpi-project:glpi-inventory-plugin,### Impact A plugin public script can be used to read content of system files. ### Patches Upgrade to version 1.0.2. ### Workarounds `b/deploy/index.php` file can be deleted if deploy feature is not used.,GHSA-Q33F-JCJF-P4V9,,SERVICE,NETWORK,"Vuln in a plugin that can be exploited via a public script, making it a service-related issue."
CVE-2026-42063,CVE_ONLY,N,N,,cve-project,F5:BIG-IP,A vulnerability exists in iControl SOAP where an authenticated attacker with the Resource Administrator or Administrator role can download sensitive files.  Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated.,,,SERVICE,NETWORK,Vulnerability in a service that requires network exposure for exploitability.
CVE-2026-44993,CVE_ONLY,N,N,,cve-project,OpenClaw:OpenClaw,OpenClaw before 2026.4.20 contains a message classification vulnerability in Feishu card-action callbacks that misclassifies direct messages as group conversations. Attackers can bypass dmPolicy enforcement by triggering card-action flows in direct message conversations that should have been blocked,,,PACKAGE,SBOM,"OpenClaw is a package with a versioned release, making it representable as a PACKAGE."
