cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
_VALID_VALUES:,(skip this row; treat as header extension),Y or N,Y or N,0.0000-1.0000,(pre-filled),(pre-filled),(pre-filled),(pre-filled),(free text),PACKAGE | BINARY | RUNTIME_CONFIG | SERVICE | APPLIANCE | CLOUD | OTHER,SBOM | HOST | NETWORK | RUNTIME | CSPM | NONE,(free text)
CVE-2019-12103,UNREVIEWED_MIRROR,N,N,0.8765,cve-project;epss;ghsa-unreviewed,n/a:n/a,The web-based configuration interface of the TP-Link M7350 V3 with firmware before 190531 is affected by a pre-authentication command injection vulnerability.,GHSA-CVP6-9G3R-V878,,,,
CVE-2019-5253,UNREVIEWED_MIRROR,N,N,0.4133,cve-project;epss;ghsa-unreviewed,n/a:E5572-855,"E5572-855 with versions earlier than 8.0.1.3(H335SP1C233) has an improper authentication vulnerability. The device does not perform a sufficient authentication when doing certain operations, successful exploit could allow an attacker to cause the device to reboot after launch a man in the middle att",GHSA-Q3VG-9C63-45PW,,,,
CVE-2015-6752,UNREVIEWED_MIRROR,N,N,0.3423,cve-project;epss;ghsa-unreviewed,n/a:n/a,"Cross-site scripting (XSS) vulnerability in the Search API Autocomplete module 7.x-1.x before 7.x-1.3 for Drupal, when the search index is configured to use the HTML filter processor, allows remote authenticated users with certain permissions to inject arbitrary web script or HTML via unspecified ve",GHSA-GRGF-J3JJ-CQPJ,,,,
CVE-2025-67708,UNREVIEWED_MIRROR,N,N,0.1717,cve-project;epss;ghsa-unreviewed,Esri:ArcGIS Server,There is a stored cross site scripting issue in Esri ArcGIS Server 11.4 and earlier on Windows and Linux that in some configurations allows a remote unauthenticated attacker to store files that contain malicious code that may execute in the context of a victim’s browser.,GHSA-HVCP-4WF3-WRC5,,,,
CVE-2024-40794,UNREVIEWED_MIRROR,N,N,0.6662,cve-project;epss;ghsa-unreviewed,Apple:Safari,"This issue was addressed through improved state management. This issue is fixed in Safari 17.6, iOS 17.6 and iPadOS 17.6, macOS Sonoma 14.6. Private Browsing tabs may be accessed without authentication.",GHSA-VCMX-3577-7JH3,,,,
CVE-2011-2685,UNREVIEWED_MIRROR,N,N,0.9430,cve-project;epss;ghsa-unreviewed,n/a:n/a,Stack-based buffer overflow in the Lotus Word Pro import filter in LibreOffice before 3.3.3 allows remote attackers to execute arbitrary code via a crafted .lwp file.,GHSA-6MJ6-F4J4-FWCX,,,,
CVE-2010-1735,UNREVIEWED_MIRROR,N,N,0.7530,cve-project;epss;ghsa-unreviewed,n/a:n/a,"The SfnLOGONNOTIFY function in win32k.sys in the kernel in Microsoft Windows 2000, XP, and Server 2003 allows local users to cause a denial of service (system crash) via a 0x4c value in the second argument (aka the Msg argument) of a PostMessage function call for the DDEMLEvent window.",GHSA-W766-JW89-5224,,,,
CVE-2022-21289,UNREVIEWED_MIRROR,N,N,0.9358,cve-project;epss;ghsa-unreviewed;osv-GIT,Oracle Corporation:MySQL Cluster,"Vulnerability in the MySQL Cluster product of Oracle MySQL (component: Cluster: General). Supported versions that are affected are 7.4.34 and prior, 7.5.24 and prior, 7.6.20 and prior and 8.0.27 and prior. Difficult to exploit vulnerability allows high privileged attacker with access to the physical",GHSA-3GXF-GCM8-JMP8,,,,
CVE-2025-33092,UNREVIEWED_MIRROR,N,N,0.0230,cve-project;epss;ghsa-unreviewed,IBM:Db2,"IBM Db2 for Linux 12.1.0, 12.1.1, and 12.1.2 

is vulnerable to a stack-based buffer overflow in db2fm, caused by improper bounds checking. A local user could overflow the buffer and execute arbitrary code on the system.",GHSA-XP3X-5M3G-5CQJ,,,,
CVE-2025-20191,UNREVIEWED_MIRROR,N,N,0.2698,cve-project;epss;ghsa-unreviewed,Cisco:Cisco NX-OS Software,"A vulnerability in the Switch Integrated Security Features (SISF) of Cisco IOS Software, Cisco IOS XE Software, Cisco NX-OS Software, and Cisco Wireless LAN Controller (WLC) AireOS Software could allow an unauthenticated, adjacent attacker to cause a denial of service (DoS) condition on an affected ",GHSA-VX24-6MQ3-C5CQ,,,,
CVE-2013-2246,UNREVIEWED_MIRROR,N,N,0.3918,cve-project;epss;ghsa-unreviewed,n/a:n/a,"mod/feedback/lib.php in Moodle through 2.1.10, 2.2.x before 2.2.11, 2.3.x before 2.3.8, 2.4.x before 2.4.5, and 2.5.x before 2.5.1 does not consider the mod/feedback:view capability before displaying recent feedback, which allows remote authenticated users to obtain sensitive information via a reque",GHSA-6GGR-H9VF-PG47,,,,
CVE-2021-37037,UNREVIEWED_MIRROR,N,N,0.3551,cve-project;epss;ghsa-unreviewed,Huawei:EMUI,There is an Invalid address access vulnerability in Huawei Smartphone.Successful exploitation of this vulnerability may cause the device to restart.,GHSA-JWP4-CWH4-PG3C,,,,
